62,          Interest on debt,"129,809,828",0.7,"48,273,301","81,536,527",1.11,"1,122,093",2.1,"384,485","737,608",3.2,"331,457",0.24,"203,120","128,337",0.61,"1,733,364",1.66,"503,604","1,229,760",2.34,"558,158",3.13,"163,022","395,136",4.42,"20,913,777",1.96,"6,223,541","14,690,236",2.79,"2,697,170",8.64,"845,608","1,851,562",12.58,"2,005,059",1.38,"1,549,443","455,616",6.07,"312,819",0.35,"231,699","81,120",1.37,"688,160",0,0,"688,160",0,"4,637,506",5.56,"805,493","3,832,013",6.73,"2,443,607",3.77,"577,975","1,865,632",4.94,"395,852",0,"106,596","289,256",0,"271,927",2.29,"164,116","107,811",5.77,"8,453,880",4.6,"4,344,299","4,109,581",9.46,"2,149,006",2.83,"1,099,475","1,049,531",5.8,"644,661",4.1,"224,434","420,227",6.29,"803,666",2.79,"150,666","653,000",3.43,"1,295,188",2.13,"568,351","726,837",3.79,"1,288,756",1.37,"799,538","489,218",3.62,"244,727",2.64,"122,072","122,655",5.26,"2,886,995",0.12,"1,792,695","1,094,300",0.32,"3,703,339",1.86,"3,055,001","648,338",10.62,"3,282,531",2.29,"1,752,635","1,529,896",4.92,"1,847,531",4.76,"611,785","1,235,746",7.12,"569,391",0.88,"311,206","258,185",1.94
63,          Insurance benefits and repayments,"373,320,973",0.12,"313,046,205","60,274,768",0.76,"3,813,804",0,"3,554,880","258,924",0,"1,464,618",0,"1,432,217","32,401",0,"5,079,868",0,"4,606,968","472,900",0.04,"2,231,247",0.01,"2,182,763","48,484",0.44,"71,769,939",0.04,"56,794,911","14,975,028",0.18,"6,331,803",0.21,"5,893,564","438,239",3.1,"5,929,726",0.12,"4,979,298","950,428",0.74,"855,271",0.96,"763,672","91,599",8.98,"599,012",0,0,"599,012",0,"13,563,701",0.53,"10,760,069","2,803,632",2.57,"8,464,698",0.08,"7,240,413","1,224,285",0.52,"1,645,696",0,"1,645,696",0,0,"1,281,712",0,"1,279,835","1,877",0,"22,427,884",0.18,"16,114,618","6,313,266",0.66,"2,822,830",0.03,"2,701,230","121,600",0.76,"2,830,570",0,"2,825,506","5,064",0,"2,109,566",0,"1,981,404","128,162",0,"4,821,556",0.04,"4,739,811","81,745",2.15,"5,202,744",0.53,"4,947,371","255,373",10.7,"1,111,024",0,"1,111,024",0,0,"6,195,536",0.09,"4,630,699","1,564,837",0.34,"9,554,333",0.38,"7,363,958","2,190,375",1.65,"10,187,649",0.51,"8,325,069","1,862,580",2.78,"6,101,010",0.03,"5,902,386","198,624",0.85,"2,953,326",0,"2,953,326",0,0
64,          Exhibit: Salaries and wages,"1,033,578,785",0.02,"296,935,393","736,643,392",0.03,"14,452,944",0.06,"5,372,877","9,080,066",0.1,"3,607,036",0.05,"1,774,691","1,832,346",0.09,"16,357,941",0.08,"4,456,775","11,901,165",0.1,"7,842,336",0.06,"3,408,328","4,434,007",0.1,"158,183,104",0.03,"39,806,558","118,376,546",0.04,"18,845,502",0.05,"6,199,180","12,646,322",0.07,"12,513,621",0.06,"4,567,076","7,946,545",0.1,"3,074,417",0.02,"1,620,358","1,454,059",0.04,"4,680,296",0,0,"4,680,296",0,"48,047,133",0.04,"10,055,181","37,991,952",0.05,"26,571,211",0.07,"7,030,360","19,540,850",0.09,"4,670,223",0,"3,504,944","1,165,279",0,"4,501,992",0.1,"1,617,202","2,884,790",0.16,"40,669,025",0.05,"8,971,084","31,697,941",0.07,"16,518,576",0.09,"5,066,885","11,451,692",0.13,"10,836,517",0.07,"3,653,414","7,183,103",0.1,"10,000,396",0.05,"3,142,619","6,857,777",0.08,"11,515,581",0.07,"4,453,716","7,061,865",0.11,"12,400,047",0.08,"4,372,791","8,027,256",0.12,"3,530,648",0.09,"1,131,841","2,398,807",0.13,"20,811,503",0.03,"5,761,937","15,049,565",0.05,"23,834,809",0.87,"8,104,958","15,729,851",1.32,"26,661,156",0.07,"10,769,035","15,892,121",0.11,"19,315,540",0.07,"6,144,758","13,170,782",0.1,"8,108,870",0.13,"2,794,486","5,314,384",0.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Direct expenditure by function,"3,964,758,132",0.15,"1,923,730,903","2,041,027,229",0.3,"50,478,634",0.35,"26,923,514","23,555,120",0.75,"14,996,568",0.23,"9,732,767","5,263,801",0.66,"64,120,262",0.37,"31,888,728","32,231,534",0.73,"28,799,963",0.46,"17,865,274","10,934,689",1.22,"635,057,570",0.5,"281,062,870","353,994,700",0.9,"66,250,775",0.95,"29,743,138","36,507,637",1.72,"43,187,166",1.56,"22,835,112","20,352,054",3.31,"12,886,669",0.09,"8,866,760","4,019,909",0.28,"20,172,049",0,0,"20,172,049",0,"198,897,417",0.47,"83,923,796","114,973,621",0.82,"92,256,088",1.16,"40,057,800","52,198,288",2.05,"18,684,235",0,"13,934,204","4,750,031",0,"15,294,592",0.64,"8,484,673","6,809,919",1.44,"154,636,881",1.44,"68,944,341","85,692,540",2.6,"64,932,085",0.61,"32,814,321","32,117,764",1.23,"37,457,000",0.86,"19,140,969","18,316,031",1.77,"31,818,340",0.79,"15,445,082","16,373,258",1.53,"46,705,173",0.44,"30,368,525","16,336,648",1.26,"50,911,077",0.34,"29,830,586","21,080,491",0.82,"13,786,101",0.64,"8,297,572","5,488,529",1.62,"75,513,685",0.07,"39,117,291","36,396,394",0.14,"98,665,739",1.02,"59,528,212","39,137,527",2.58,"108,256,237",0.88,"56,924,233","51,332,004",1.85,"72,272,431",1,"36,088,813","36,183,618",1.99,"30,664,211",0.24,"17,293,892","13,370,319",0.56
66,     Direct general expenditure,"3,336,134,401",0.17,"1,571,196,712","1,764,937,689",0.32,"43,033,835",0.37,"23,017,500","20,016,335",0.8,"12,908,348",0.27,"8,171,321","4,737,027",0.73,"52,870,963",0.44,"27,258,933","25,612,030",0.9,"25,522,445",0.48,"15,682,511","9,839,934",1.24,"516,008,190",0.55,"222,651,492","293,356,698",0.96,"55,517,399",1.01,"23,836,112","31,681,287",1.78,"35,770,684",1.88,"17,240,220","18,530,464",3.64,"11,447,500",0.06,"7,928,874","3,518,626",0.21,"14,919,860",0,0,"14,919,860",0,"172,522,287",0.52,"72,871,931","99,650,356",0.91,"77,371,222",1.34,"32,786,411","44,584,811",2.33,"15,781,285",0,"12,288,508","3,492,777",0,"13,608,082",0.7,"7,061,219","6,546,863",1.46,"124,031,783",1.69,"52,820,491","71,211,292",2.94,"59,524,224",0.63,"30,113,091","29,411,133",1.28,"33,041,167",0.96,"16,075,986","16,965,181",1.88,"28,167,417",0.84,"13,463,678","14,703,739",1.61,"39,829,890",0.45,"25,593,589","14,236,301",1.27,"44,376,155",0.37,"24,873,197","19,502,958",0.84,"12,340,806",0.7,"7,022,929","5,317,877",1.63,"65,382,971",0.08,"32,722,555","32,660,416",0.15,"82,391,206",1.21,"48,675,831","33,715,375",2.96,"93,369,466",1,"47,644,895","45,724,571",2.05,"62,745,771",1.09,"29,791,408","32,954,363",2.07,"26,575,646",0.27,"14,033,490","12,542,156",0.58
67,          Capital outlay,"351,841,105",0.33,"139,722,075","212,119,030",0.54,"4,496,055",0.68,"2,454,561","2,041,494",1.51,"1,891,406",0.67,"1,200,159","691,247",1.84,"5,290,618",1.14,"1,608,823","3,681,795",1.64,"2,421,057",0.69,"1,049,951","1,371,106",1.22,"41,802,868",1.67,"11,326,920","30,475,948",2.29,"6,902,562",2.17,"1,527,618","5,374,944",2.79,"3,716,844",2.1,"1,697,700","2,019,144",3.86,"1,377,966",0.14,"935,746","442,220",0.43,"1,723,923",0,0,"1,723,923",0,"19,706,752",1.16,"8,171,757","11,534,995",1.98,"8,621,133",1.84,"3,496,253","5,124,880",3.09,"2,116,025",0,"1,415,282","700,743",0,"1,750,248",1.68,"954,514","795,734",3.7,"11,745,458",3.15,"3,932,433","7,813,025",4.74,"7,206,235",0.85,"2,318,430","4,887,805",1.25,"4,150,481",1.19,"1,725,050","2,425,431",2.03,"3,066,163",1.11,"943,623","2,122,540",1.61,"4,070,536",0.7,"1,789,418","2,281,118",1.26,"4,273,432",0.82,"2,157,010","2,116,422",1.65,"906,563",1.52,"311,867","594,696",2.31,"5,780,052",0.08,"3,042,671","2,737,381",0.16,"6,185,274",2.42,"2,828,856","3,356,418",4.46,"7,266,814",1.64,"3,055,430","4,211,384",2.83,"7,354,157",3.44,"1,813,997","5,540,160",4.57,"2,257,699",0.55,"981,154","1,276,545",0.97
68,          Other direct general expenditure,"2,984,293,296",0.18,"1,431,474,637","1,552,818,659",0.35,"38,537,780",0.41,"20,562,939","17,974,841",0.88,"11,016,942",0.29,"6,971,162","4,045,780",0.8,"47,580,346",0.47,"25,650,110","21,930,236",1.01,"23,101,388",0.52,"14,632,560","8,468,828",1.43,"474,205,322",0.58,"211,324,572","262,880,750",1.04,"48,614,837",1.12,"22,308,494","26,306,343",2.06,"32,053,840",2.09,"15,542,520","16,511,320",4.05,"10,069,534",0.07,"6,993,128","3,076,406",0.23,"13,195,937",0,0,"13,195,937",0,"152,815,535",0.57,"64,700,174","88,115,361",0.99,"68,750,089",1.49,"29,290,158","39,459,931",2.6,"13,665,260",0,"10,873,226","2,792,034",0,"11,857,834",0.77,"6,106,705","5,751,129",1.58,"112,286,324",1.84,"48,888,058","63,398,266",3.25,"52,317,990",0.71,"27,794,661","24,523,329",1.52,"28,890,686",1.09,"14,350,936","14,539,750",2.17,"25,101,254",0.93,"12,520,055","12,581,199",1.86,"35,759,354",0.5,"23,804,171","11,955,183",1.49,"40,102,723",0.4,"22,716,187","17,386,536",0.92,"11,434,243",0.75,"6,711,062","4,723,181",1.81,"59,602,919",0.08,"29,679,884","29,923,035",0.17,"76,205,932",1.29,"45,846,975","30,358,957",3.25,"86,102,652",1.08,"44,589,465","41,513,187",2.24,"55,391,614",1.14,"27,977,411","27,414,203",2.31,"24,317,947",0.29,"13,052,336","11,265,611",0.63
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Education services:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,               Education,"1,088,239,466",0.14,"333,592,042","754,647,424",0.2,"15,110,522",0,"6,926,864","8,183,658",0.01,"3,177,323",0.36,"1,314,678","1,862,645",0.61,"17,029,091",0,"6,213,742","10,815,349",0,"8,916,645",0,"3,410,076","5,506,569",0,"151,747,752",0.29,"44,549,661","107,198,091",0.41,"18,926,631",0,"7,107,133","11,819,498",0,"14,002,471",4.57,"3,852,564","10,149,907",6.3,"4,317,308",0,"2,062,745","2,254,563",0,"3,113,274",0,0,"3,113,274",0,"47,200,060",0,"13,455,748","33,744,312",0,"30,764,898",0,"9,127,813","21,637,085",0,"3,790,284",0,"3,790,284",0,0,"4,027,872",0,"1,400,931","2,626,941",0,"39,465,385",0.03,"7,657,710","31,807,675",0.04,"19,391,902",0,"7,785,975","11,605,927",0,"11,397,079",0,"3,453,776","7,943,303",0,"10,337,062",0,"2,891,376","7,445,686",0,"12,775,908",0,"5,828,930","6,946,978",0.01,"12,722,232",0,"4,671,965","8,050,267",0,"3,802,800",1.01,"1,045,631","2,757,169",1.39,"22,035,786",0.17,"6,208,460","15,827,326",0.24,"23,597,683",3.57,"6,901,241","16,696,442",5.05,"33,114,602",0,"12,723,225","20,391,377",0,"19,802,738",0.01,"6,141,990","13,660,748",0.02,"8,328,909",0.31,"2,851,967","5,476,942",0.46
70,                    Capital outlay,"111,261,089",0.14,"30,552,191","80,708,898",0.19,"1,403,986",0,"810,016","593,970",0,"204,009",0.18,"142,142","61,867",0.58,"1,953,952",0,"547,573","1,406,379",0,"1,019,825",0,"286,879","732,946",0,"15,138,849",0.01,"3,623,913","11,514,936",0.01,"2,571,859",0,"686,269","1,885,590",0,"1,040,865",4.61,"408,147","632,718",7.59,"487,593",0,"305,758","181,835",0,"407,750",0,0,"407,750",0,"3,656,893",0,"835,199","2,821,694",0,"3,250,809",0,"1,116,090","2,134,719",0,"496,217",0,"496,217",0,0,"284,391",0,"95,518","188,873",0,"3,357,806",0,"430,677","2,927,129",0,"2,765,650",0,"594,919","2,170,731",0,"1,255,972",0,"302,459","953,513",0,"1,222,425",0,"200,048","1,022,377",0,"1,199,693",0,"345,229","854,464",0,"1,000,988",0,"475,879","525,109",0,"258,264",0.4,"45,507","212,757",0.48,"2,174,789",0.03,"436,820","1,737,969",0.04,"1,590,323",7.25,"500,959","1,089,364",10.58,"3,451,111",0,"1,553,746","1,897,365",0,"2,396,967",0.02,"328,052","2,068,915",0.02,"572,921",0.11,"130,829","442,092",0.14
71,                 Higher education,"311,355,142",0.06,"267,019,549","44,335,593",0.39,"5,673,352",0,"5,673,352",0,0,"746,254",0,"728,511","17,743",0,"6,485,772",0,"5,244,780","1,240,992",0,"2,835,173",0,"2,835,173",0,0,"49,681,787",0,"37,464,133","12,217,654",0,"6,049,920",0,"5,860,617","189,303",0,"3,190,445",0,"3,190,445",0,0,"1,528,742",0,"1,528,742",0,0,"147,292",0,0,"147,292",0,"12,090,905",0,"8,862,069","3,228,836",0,"6,494,266",0,"6,494,266",0,0,"1,267,995",0,"1,267,995",0,0,"1,255,606",0,"1,128,892","126,714",0,"8,878,083",0,"5,951,786","2,926,297",0,"6,524,653",0,"6,524,653",0,0,"3,795,683",0,"2,923,731","871,952",0,"3,350,272",0,"2,577,667","772,605",0,"3,959,816",0,"3,959,816",0,0,"3,736,931",0,"3,736,931",0,0,"807,885",0,"807,885",0,0,"6,674,263",0,"5,310,351","1,363,912",0,"5,157,943",0,"5,115,642","42,301",0,"12,656,084",0,"10,944,592","1,711,492",0,"4,959,276",0,"4,959,276",0,0,"3,008,666",0,"2,227,579","781,087",0
72,                    Capital outlay,"33,847,400",0.08,"29,143,503","4,703,897",0.58,"798,165",0,"798,165",0,0,"73,090",0,"73,090",0,0,"617,956",0,"546,134","71,822",0,"286,878",0,"286,878",0,0,"4,926,383",0,"3,623,913","1,302,470",0,"600,345",0,"570,709","29,636",0,"379,919",0,"379,919",0,0,"301,694",0,"301,694",0,0,0,0,0,0,0,"1,012,282",0,"823,883","188,399",0,"981,406",0,"981,406",0,0,"183,543",0,"183,543",0,0,"96,353",0,"93,180","3,173",0,"545,368",0,"411,349","134,019",0,"593,406",0,"593,406",0,0,"349,061",0,"301,911","47,150",0,"228,741",0,"199,002","29,739",0,"344,158",0,"344,158",0,0,"466,847",0,"466,847",0,0,"44,878",0,"44,878",0,0,"566,766",0,"423,924","142,842",0,"487,659",0,"487,659",0,0,"1,778,858",0,"1,551,390","227,468",0,"326,767",0,"326,767",0,0,"219,318",0,"126,957","92,361",0
73,                 Elementary & secondary,"717,788,771",0.21,"7,476,941","710,311,830",0.21,"8,183,658",0.01,0,"8,183,658",0.01,"2,345,759",0.48,"500,857","1,844,902",0.61,"9,574,378",0,21,"9,574,357",0,"5,506,569",0,0,"5,506,569",0,"94,980,437",0.46,0,"94,980,437",0.46,"11,630,195",0,0,"11,630,195",0,"10,150,435",6.3,528,"10,149,907",6.3,"2,254,563",0,0,"2,254,563",0,"2,965,982",0,0,"2,965,982",0,"30,515,476",0,0,"30,515,476",0,"21,637,085",0,0,"21,637,085",0,"2,396,395",0,"2,396,395",0,0,"2,500,227",0,0,"2,500,227",0,"28,881,378",0.04,0,"28,881,378",0.04,"11,605,927",0,0,"11,605,927",0,"7,071,351",0,0,"7,071,351",0,"6,673,081",0,0,"6,673,081",0,"7,664,465",0.01,"717,487","6,946,978",0.01,"8,056,826",0,"6,559","8,050,267",0,"2,769,885",1.39,"12,716","2,757,169",1.39,"14,463,419",0.26,5,"14,463,414",0.26,"16,925,318",4.98,"271,177","16,654,141",5.06,"18,679,885",0,0,"18,679,885",0,"13,660,748",0.02,0,"13,660,748",0.02,"4,695,855",0.54,0,"4,695,855",0.54
74,                    Capital outlay,"76,824,022",0.19,"819,021","76,005,001",0.2,"593,970",0,0,"593,970",0,"130,801",0.27,"68,934","61,867",0.58,"1,334,578",0,21,"1,334,557",0,"732,946",0,0,"732,946",0,"10,212,466",0.01,0,"10,212,466",0.01,"1,855,954",0,0,"1,855,954",0,"633,246",7.58,528,"632,718",7.59,"181,835",0,0,"181,835",0,"407,750",0,0,"407,750",0,"2,633,295",0,0,"2,633,295",0,"2,134,719",0,0,"2,134,719",0,"312,666",0,"312,666",0,0,"185,700",0,0,"185,700",0,"2,793,110",0,0,"2,793,110",0,"2,170,731",0,0,"2,170,731",0,"906,363",0,0,"906,363",0,"992,638",0,0,"992,638",0,"854,476",0,12,"854,464",0,"525,204",0,95,"525,109",0,"213,077",0.48,320,"212,757",0.48,"1,595,132",0.04,5,"1,595,127",0.04,"1,090,665",10.57,"1,301","1,089,364",10.58,"1,669,897",0,0,"1,669,897",0,"2,068,915",0.02,0,"2,068,915",0.02,"349,731",0.18,0,"349,731",0.18
75,                 Other education,"59,095,552",0,"59,095,552",0,0,"1,253,512",0,"1,253,512",0,0,"85,310",0,"85,310",0,0,"968,941",0,"968,941",0,0,"574,903",0,"574,903",0,0,"7,085,528",0,"7,085,528",0,0,"1,246,516",0,"1,246,516",0,0,"661,591",0,"661,591",0,0,"534,003",0,"534,003",0,0,0,0,0,0,0,"4,593,679",0,"4,593,679",0,0,"2,633,547",0,"2,633,547",0,0,"125,894",0,"125,894",0,0,"272,039",0,"272,039",0,0,"1,705,924",0,"1,705,924",0,0,"1,261,322",0,"1,261,322",0,0,"530,045",0,"530,045",0,0,"313,709",0,"313,709",0,0,"1,151,627",0,"1,151,627",0,0,"928,475",0,"928,475",0,0,"225,030",0,"225,030",0,0,"898,104",0,"898,104",0,0,"1,514,422",0,"1,514,422",0,0,"1,778,633",0,"1,778,633",0,0,"1,182,714",0,"1,182,714",0,0,"624,388",0,"624,388",0,0
76,               Libraries,"13,039,563",4.82,"420,661","12,618,902",4.98,"104,520",5.22,"5,140","99,380",5.49,"36,778",0.58,"5,140","31,638",0.67,"193,091",4.42,"1,634","191,457",4.46,"101,357",15.57,"2,702","98,655",15.99,"1,760,016",11.91,"23,373","1,736,643",12.07,"312,871",26.76,"6,296","306,575",27.31,"182,419",12.86,"10,958","171,461",13.68,"39,937",0.01,"9,308","30,629",0.01,"134,771",0,0,"134,771",0,"663,781",4.4,"10,739","653,042",4.48,"191,871",13.46,"17,585","174,286",14.82,"36,578",0,"36,578",0,0,"61,800",45.92,"5,054","56,746",50.01,"809,822",44.68,"4,968","804,854",44.96,"385,678",33.68,"8,441","377,237",34.43,"153,374",10.59,"3,420","149,954",10.83,"143,811",12.82,"3,884","139,927",13.18,"168,592",32.22,"5,421","163,171",33.29,"193,700",6.52,"4,684","189,016",6.68,"48,766",8.54,"4,574","44,192",9.42,"181,633",0.54,"15,486","166,147",0.59,"334,311",15.21,"17,588","316,723",16.05,"410,316",28.34,"10,442","399,874",29.08,"254,508",21.03,"1,348","253,160",21.14,"55,032",23.08,"4,587","50,445",25.17
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Social services and income maintenance:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,               Public welfare,"743,712,401",0.06,"683,218,383","60,494,018",0.78,"7,948,663",0.03,"7,905,245","43,418",6.09,"2,786,410",0.01,"2,777,530","8,880",2.4,"15,900,080",0.04,"15,756,222","143,858",3.96,"7,764,763",0.03,"7,752,884","11,879",20.41,"133,978,520",0.03,"113,574,666","20,403,854",0.23,"9,656,496",0.17,"8,724,904","931,592",1.77,"4,002,522",0.19,"3,909,294","93,228",8.04,"2,645,564",0,"2,644,390","1,174",0,"4,093,259",0,0,"4,093,259",0,"28,821,531",0.05,"27,685,508","1,136,023",1.32,"13,252,168",0.12,"13,124,869","127,299",12.2,"2,955,618",0,"2,870,937","84,681",0,"2,912,274",0.05,"2,878,049","34,225",4.39,"24,048,666",0.35,"23,383,045","665,621",12.78,"15,030,762",0.08,"15,004,512","26,250",46.93,"6,613,927",0.11,"6,527,914","86,013",8.42,"4,767,300",0.12,"4,728,300","39,000",14.48,"11,820,221",0.03,"11,760,781","59,440",5.54,"12,647,298",0.05,"12,569,790","77,508",7.88,"3,530,545",0.08,"3,487,315","43,230",6.89,"13,943,484",0,"13,809,805","133,679",0,"24,639,146",0.07,"24,551,514","87,632",18.84,"19,003,485",0.56,"17,663,886","1,339,599",7.97,"17,039,955",0.89,"15,413,951","1,626,004",9.32,"6,323,315",0.01,"6,294,773","28,542",1.27
78,                    Cash assistance payments,"23,020,008",0.37,"11,885,597","11,134,411",0.76,"135,289",0,"135,288",1,0,"119,053",0,"119,047",6,0,"229,225",0,"229,017",208,0,"5,612",0,"5,612",0,0,"6,917,786",0.37,0,"6,917,786",0.37,"71,507",7.05,"17,234","54,273",9.29,"164,235",0.12,"163,742",493,40.6,"36,586",0,"36,586",0,0,"550,125",0,0,"550,125",0,"165,055",0,"151,411","13,644",0,"98,651",0,"98,651",0,0,"32,512",0,"3,441","29,071",0,"63,987",0.02,"63,714",273,5.21,"131,098",0,"131,098",0,0,"348,345",0.14,"348,143",202,236.24,"242,008",0,"241,933",75,0,"57,685",0,"57,670",15,0,"171,832",0,"171,832",0,0,"27,185",0.02,"26,507",678,0.92,"51,375",0.92,"43,618","7,757",6.11,"1,156,546",0,"1,156,546",0,0,"529,154",0,"529,154",0,0,"183,599",0,"182,487","1,112",0,"710,269",6.02,"471,715","238,554",17.91,"61,703",0,"61,369",334,0
79,                    Vendor payments,"620,896,279",0.01,"615,189,870","5,706,409",0.75,"7,044,286",0,"7,044,255",31,35.64,"2,323,495",0,"2,323,495",0,0,"12,358,459",0,"12,346,734","11,725",0,"7,156,330",0,"7,156,265",65,0,"108,643,810",0,"108,463,798","180,012",0.06,"7,969,463",0,"7,942,135","27,328",0.88,"2,760,662",0,"2,760,515",147,82.87,"2,276,331",0,"2,276,331",0,0,"2,662,466",0,0,"2,662,466",0,"25,661,559",0,"25,607,383","54,176",0,"11,788,164",0,"11,788,164",0,0,"2,412,548",0,"2,402,160","10,388",0,"2,470,619",0.06,"2,455,613","15,006",9.51,"20,128,126",0,"20,128,126",0,0,"13,531,171",0.06,"13,525,010","6,161",123.32,"5,872,998",0.01,"5,860,025","12,973",4.12,"4,061,518",0,"4,060,940",578,2.84,"10,704,128",0,"10,704,128",0,0,"11,793,321",0,"11,792,588",733,0,"2,473,329",0,"2,473,324",5,66.3,"11,559,440",0,"11,559,440",0,0,"22,154,310",0,"22,154,310",0,0,"14,975,350",0,"14,436,196","539,154",0,"13,688,638",0.07,"13,587,074","101,564",9.14,"5,864,351",0,"5,864,351",0,0
80,                    Other public welfare,"99,796,114",0.46,"56,142,916","43,653,198",1.06,"769,087",0.34,"725,702","43,385",6.1,"343,862",0.06,"334,988","8,874",2.4,"3,312,396",0.17,"3,180,471","131,925",4.32,"602,821",0.4,"591,007","11,814",20.52,"18,416,924",0.21,"5,110,868","13,306,056",0.29,"1,615,526",0.97,"765,535","849,991",1.85,"1,077,625",0.7,"985,037","92,588",8.09,"332,647",0,"331,473","1,174",0,"880,668",0,0,"880,668",0,"2,994,917",0.5,"1,926,714","1,068,203",1.4,"1,365,353",1.14,"1,238,054","127,299",12.2,"510,558",0,"465,336","45,222",0,"377,668",0.12,"358,722","18,946",2.48,"3,789,442",2.24,"3,123,821","665,621",12.78,"1,151,246",0.84,"1,131,359","19,887",48.7,"498,921",1.45,"425,956","72,965",9.9,"648,097",0.87,"609,690","38,407",14.71,"944,261",0.35,"884,821","59,440",5.54,"826,792",0.74,"750,695","76,097",8.02,"1,005,841",0.29,"970,373","35,468",8.29,"1,227,498",0,"1,093,819","133,679",0,"1,955,682",0.84,"1,868,050","87,632",18.84,"3,844,536",2.78,"3,045,203","799,333",13.35,"2,641,049",5.5,"1,355,162","1,285,887",11.29,"397,261",0.09,"369,053","28,208",1.28
81,               Hospitals,"210,029,047",0.54,"94,276,420","115,752,627",0.98,"6,299,485",0.14,"2,497,389","3,802,096",0.23,"453,669",0,"32,719","420,950",0,"752,335",1.75,194,"752,141",1.75,"1,375,419",2.2,"1,179,702","195,717",15.43,"31,593,721",0.95,"14,770,767","16,822,954",1.78,"2,851,543",2.54,"1,220,835","1,630,708",4.45,"1,487,243",0,"1,487,243",0,0,"80,136",0,"80,136",0,0,"293,380",0,0,"293,380",0,"10,922,744",0.46,"1,650,534","9,272,210",0.54,"5,568,684",14.28,"1,307,694","4,260,990",18.67,"531,566",0,"531,566",0,0,"786,025",2.28,"51,753","734,272",2.44,"4,208,128",4.35,"856,042","3,352,086",5.46,"4,766,518",0.18,"140,968","4,625,550",0.19,"4,298,722",5.54,"2,342,698","1,956,024",12.18,"3,839,209",2.68,"2,875,096","964,113",10.68,"2,702,237",1.16,"2,012,688","689,549",4.53,"3,008,539",2.26,"355,578","2,652,961",2.56,"244,858",0.23,"123,145","121,713",0.45,"613,838",0,"565,081","48,757",0,"1,575,344",0,"712,946","862,398",0,"5,826,458",2.05,"4,947,263","879,195",13.6,"1,914,664",6.15,"239,699","1,674,965",7.03,"4,164,634",0.72,"1,571,342","2,593,292",1.16
82,                    Capital outlay,"9,440,912",0.64,"3,852,459","5,588,453",1.08,"350,420",0.32,"114,392","236,028",0.47,"6,773",0,19,"6,754",0,"55,948",4.18,26,"55,922",4.18,"44,066",5.55,"11,842","32,224",7.6,"1,262,160",1.9,"712,557","549,603",4.37,"50,567",23.89,"2,284","48,283",25.02,"16,901",0,"16,901",0,0,442,0,442,0,0,"28,460",0,0,"28,460",0,"769,230",0.16,"86,652","682,578",0.18,"179,022",18.11,"4,783","174,239",18.61,"3,792",0,"3,792",0,0,"44,474",0.42,929,"43,545",0.43,"106,085",15.38,"39,419","66,666",24.47,"680,311",0,639,"679,672",0,"266,469",8.41,"122,645","143,824",15.58,"294,452",1.55,"202,409","92,043",4.97,"97,602",1.38,"66,695","30,907",4.37,"101,114",6.76,"5,084","96,030",7.11,"1,007",0,0,"1,007",0,"11,665",0,"8,895","2,770",0,"48,486",0,"18,450","30,036",0,"38,963",10.01,"3,542","35,421",11.01,"26,426",33.11,"2,033","24,393",35.87,"220,072",0.36,"91,982","128,090",0.61
